NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Saint-Olivier, Rue    /   Boutet, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.343767|46.805052
Verdure, Rue de la    /   Amitié, Rue de l'    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.346702|46.809039
Saint-Jean-Baptiste, Rue    /   Eden, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.348526|46.809120
Wilfrid-Hamel, Boulevard    /   Des Groseilliers, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.343461|46.798275
Wilfrid-Hamel, Boulevard    /   Saint-Henri, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.339050|46.799957
Wilfrid-Hamel, Boulevard    /   Papillon, Rue    /   Wilfrid-Hamel, Boulevard    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.337584|46.800530
Villa-des-Bois, Rue de la    /   Bocage, Rue du    --   L'Ancienne-Lorette|Non déterminé|-71.358801|46.813460
Père-Lelièvre, Boulevard    /   Saint-Omer, Avenue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.314367|46.811938
Volute, Rue de la    /   Lanterneau, Rue du    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.353254|46.815399
Ritournelle, Rue de la    /   Fleuret, Rue du    --   L'Ancienne-Lorette|Arrêts obligatoires sur toutes les approches|-71.351094|46.815833
Dalton, Avenue    /   Poincaré, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.295992|46.792429
3e Est, Avenue    /   51e Est, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.250595|46.848582
Holland, Avenue    /      --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.252044|46.794229
Saint-Olivier, Rue    /   Panneton, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue est-ouest|-71.356177|46.814760
